date*boxscore*team*home_or_away*opponent*win_or_loss*runs*runs_allowed*innings*win_loss_record*rank*games_behind*win*loss*save*time*day_or_night*attendance*streak*originally_scheduled
Tuesday, Aug 7*boxscore*PHI*@*NYM*W*9*0*None*52-55*4* 12.0*de Jesus*Viola*None*2:44*N*33,120*+*None
Wednesday, Aug 8*boxscore*PHI*@*NYM*L*4*8*None*52-56*4* 12.0*Cone*Carman*None*2:47*D*41,204*-*None
Thursday, Aug 9*boxscore*PHI*@*NYM*L*4*5*None*52-57*4* 12.0*Ojeda*Akerfelds*Franco*3:34*N*39,240*--*None
Friday, Aug 10*boxscore*PHI*@*MON*L*3*4*None*52-58*4* 12.5*Boyd*Mulholland*Frey*2:31*N*17,904*---*None
Saturday, Aug 11*boxscore*PHI*@*MON*L-wo*4*5*12*52-59*5* 12.5*Sampen*Carman*None*4:05*N*23,708*----*None
Sunday, Aug 12*boxscore*PHI*@*MON*L*3*6*None*52-60*6* 12.5*Nabholz*de Jesus*Burke*2:40*D*29,186*-----*None
Tuesday, Aug 14*boxscore*PHI*None*SFG*W-wo*4*3*13*53-60*5* 12.5*Cook*Bedrosian*None*4:28*N*29,538*+*None
Wednesday, Aug 15*boxscore*PHI*None*SFG*W*6*0*None*54-60*5* 11.5*Mulholland*Robinson*None*2:09*N*32,156*++*None
Thursday, Aug 16*boxscore*PHI*None*SFG*W-wo*6*4*None*55-60*4* 11.5*McDowell*Thurmond*None*3:12*D*37,340*+++*None
Friday, Aug 17*boxscore*PHI*@*SDP*W*2*1*None*56-60*4* 12.0*de Jesus*Schiraldi*None*2:34*N*18,488*++++*None
Saturday, Aug 18*boxscore*PHI*@*SDP*L*2*4*None*56-61*4* 13.0*Benes*Greene*Lefferts*2:40*N*35,145*-*None
Sunday, Aug 19*boxscore*PHI*@*SDP*W*3*2*None*57-61*4* 13.0*Boever*Rasmussen*McDowell*3:16*D*22,627*+*None
Monday, Aug 20*boxscore*PHI*@*LAD*L-wo*1*2*None*57-62*5* 14.0*Gott*Mulholland*None*2:26*N*28,112*-*None
Tuesday, Aug 21*boxscore*PHI*@*LAD*W*12*11*None*58-62*4* 13.0*McDowell*Crews*Carman*3:31*N*39,682*+*None
Wednesday, Aug 22*boxscore*PHI*@*LAD*L-wo*2*3*None*58-63*4* 14.0*Gott*Boever*None*2:50*N*27,934*-*None
Thursday, Aug 23*boxscore*PHI*@*SFG*L*3*6*None*58-64*5* 15.0*Oliveras*Cook*Bedrosian*3:03*N*13,918*--*None
Friday, Aug 24*boxscore*PHI*@*SFG*L*2*13*None*58-65*5* 15.0*LaCoss*Combs*None*3:00*N*15,961*---*None
Saturday, Aug 25*boxscore*PHI*@*SFG*L*2*4*None*58-66*5* 15.0*Robinson*Mulholland*Brantley*2:55*D*28,208*----*None
Sunday, Aug 26*boxscore*PHI*@*SFG*W*5*1*None*59-66*5* 14.0*Grimsley*Burkett*None*2:39*D*30,208*+*None
Tuesday, Aug 28*boxscore*PHI*None*LAD*L*1*5*None*59-67*5* 14.0*Neidlinger*de Jesus*None*2:31*N*24,296*-*None
Wednesday, Aug 29*boxscore*PHI*None*LAD*L*2*12*None*59-68*5* 15.0*Valenzuela*Greene*Crews*2:30*N*18,545*--*None
