Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak,Orig. Scheduled
115,Sunday Aug 14,boxscore,CLE,,LAA,W,5,4,,67-48,1,up 5.0,Bauer,Weaver,Allen,2:47,D,18979,++++,
116,Monday Aug 15,boxscore,CLE,,BOS,L,2,3,,67-49,1,up 5.0,Pomeranz,Tomlin,Kimbrel,2:57,D,19174,-,2016-04-07 (Rain)
117,Tuesday Aug 16,boxscore,CLE,,CHW,W,3,1,,68-49,1,up 6.0,Kluber,Quintana,Allen,3:08,N,13857,+,
118,Wednesday Aug 17,boxscore,CLE,,CHW,L,7,10,,68-50,1,up 6.0,Turner,Allen,Robertson,3:30,N,14371,-,
119,Thursday Aug 18,boxscore,CLE,,CHW,W-wo,5,4,,69-50,1,up 6.0,Miller,Turner,,3:00,N,12982,+,
120,Friday Aug 19,boxscore,CLE,,TOR,W-wo,3,2,,70-50,1,up 7.0,Manship,Osuna,,2:27,N,30665,++,
121,Saturday Aug 20,boxscore,CLE,,TOR,L,5,6,,70-51,1,up 7.0,Biagini,Tomlin,Osuna,3:00,N,33604,-,
122,Sunday Aug 21,boxscore,CLE,,TOR,W,3,2,,71-51,1,up 7.0,Clevinger,Cecil,Allen,2:53,D,26696,+,
123,Monday Aug 22,boxscore,CLE,@,OAK,W,1,0,,72-51,1,up 7.5,Carrasco,Dull,Miller,2:29,N,10114,++,
124,Tuesday Aug 23,boxscore,CLE,@,OAK,L,1,9,,72-52,1,up 6.5,Manaea,Salazar,,2:43,N,13141,-,
125,Wednesday Aug 24,boxscore,CLE,@,OAK,L,1,5,,72-53,1,up 5.5,Graveman,Bauer,,2:37,D,12795,--,
126,Thursday Aug 25,boxscore,CLE,@,TEX,L,0,9,,72-54,1,up 4.5,Hamels,Tomlin,,2:34,N,23768,---,
127,Friday Aug 26,boxscore,CLE,@,TEX,W,12,1,,73-54,1,up 4.5,Kluber,Perez,,3:17,N,31853,+,
128,Saturday Aug 27,boxscore,CLE,@,TEX,L,0,7,,73-55,1,up 4.5,Griffin,Carrasco,,2:57,N,44944,-,
129,Sunday Aug 28,boxscore,CLE,@,TEX,L,1,2,,73-56,1,up 4.5,Holland,Salazar,Dyson,2:43,D,35225,--,
130,Monday Aug 29,boxscore,CLE,,MIN,W-wo,1,0,10,74-56,1,up 4.5,McAllister,Kintzler,,3:19,N,11327,+,
131,Tuesday Aug 30,boxscore,CLE,,MIN,W,5,4,,75-56,1,up 4.5,Otero,Wimmers,Miller,3:10,N,11937,++,
132,Wednesday Aug 31,boxscore,CLE,,MIN,W,8,4,,76-56,1,up 4.5,Kluber,Dean,Shaw,2:45,N,11811,+++,
133,Friday Sep 2,boxscore,CLE,,MIA,W,6,2,,77-56,1,up 4.5,Carrasco,Cashner,,2:49,N,24415,++++,
