date*boxscore*team*home_or_away*opponent*win_or_loss*runs*runs_allowed*innings*win_loss_record*rank*games_behind*win*loss*save*time*day_or_night*attendance*streak*originally_scheduled
Monday, Aug 18*boxscore*NYY*None*CHW*W*2*0*None*67-49*1*up 2.5*Bush*Robertson*None*1:45*D*8,000*+++*None
Friday, Aug 22*boxscore*NYY*None*DET*L*6*8*12*67-50*1*up 1.0*Johnson*Hoyt*None*3:05*D*30,000*-*1924-08-21 (Schedule change)
Saturday, Aug 23*boxscore*NYY*None*DET*W*8*1*None*68-50*1*up 1.0*Pennock*Whitehill*None*2:10*D*35,000*+*None
Sunday, Aug 24*boxscore*NYY*None*DET*L*2*7*None*68-51*1* Tied*Leonard*Bush*None*1:50*D*50,000*-*None
Monday, Aug 25*boxscore*NYY*None*CLE*W*8*3*None*69-51*1* Tied*Hoyt*Uhle*None*1:45*D*None*+*None
Wednesday, Aug 27*boxscore*NYY*None*CLE*L*0*1*None*69-52*1*up 0.5*Coveleski*Jones*None*1:40*D*15,000*-*None
Wednesday, Aug 27*boxscore*NYY*None*CLE*W*5*4*None*70-52*1*up 0.5*Shawkey*Shaute*Hoyt*2:00*D*25,000*+*1924-08-26 (Rain)
Thursday, Aug 28*boxscore*NYY*None*WSH*L*6*11*None*70-53*2* 0.5*Russell*Gaston*Marberry*2:35*D*25,000*-*None
Friday, Aug 29*boxscore*NYY*None*WSH*L*1*5*None*70-54*2* 1.5*Johnson*Bush*Marberry*2:10*D*25,000*--*None
Saturday, Aug 30*boxscore*NYY*None*WSH*W*2*1*None*71-54*2* 0.5*Hoyt*Ogden*None*1:45*D*40,000*+*None
Sunday, Aug 31*boxscore*NYY*None*WSH*L*2*4*10*71-55*2* 1.5*Marberry*Bush*None*2:30*D*45,000*-*None
Monday, Sep 1*boxscore*NYY*None*BOS*W*3*0*None*72-55*2* 1.5*Pennock*Fullerton*None*1:42*D*None*+*None
Monday, Sep 1*boxscore*NYY*None*BOS*W*12*2*None*73-55*2* 1.5*Shawkey*Piercy*None*2:10*D*40,000*++*None
Tuesday, Sep 2*boxscore*NYY*None*BOS*L*6*14*None*73-56*2* 1.5*Ehmke*Hoyt*None*2:00*D*6,000*-*None
Tuesday, Sep 2*boxscore*NYY*None*BOS*W*5*2*None*74-56*2* 1.5*Bush*Ferguson*None*1:45*D*12,000*+*None
Wednesday, Sep 3*boxscore*NYY*None*BOS*W*11*6*None*75-56*2* 1.0*Beall*Quinn*Jones*2:05*D*5,000*++*None
Thursday, Sep 4*boxscore*NYY*None*PHA*L*3*8*None*75-57*2* 2.0*Gray*Hoyt*None*1:40*D*8,000*-*None
Saturday, Sep 6*boxscore*NYY*None*PHA*W*10*7*None*76-57*2* 2.0*Beall*Heimach*None*1:55*D*12,000*+*None
Sunday, Sep 7*boxscore*NYY*None*PHA*L*1*2*None*76-58*2* 2.0*Rommel*Shawkey*None*1:54*D*30,000*-*None
Monday, Sep 8*boxscore*NYY*@*BOS*W*2*0*None*77-58*2* 2.0*Bush*Fullerton*None*1:32*D*5,000*+*None
Tuesday, Sep 9*boxscore*NYY*@*BOS*W*5*4*None*78-58*2* 1.5*Pennock*Quinn*Hoyt*1:58*D*5,000*++*None
Thursday, Sep 11*boxscore*NYY*@*BOS*W*4*3*None*79-58*2* 1.0*Jones*Ehmke*None*2:07*D*5,000*+++*None
Thursday, Sep 11*boxscore*NYY*@*BOS*W*8*3*None*80-58*2* 1.0*Shawkey*Ferguson*None*1:53*D*None*++++*1924-09-10 (Rain)
Saturday, Sep 13*boxscore*NYY*@*CHW*W*16*1*None*81-58*2* 1.0*Bush*Cvengros*None*1:43*D*15,000*+++++*None
Sunday, Sep 14*boxscore*NYY*@*CHW*L*2*5*None*81-59*2* 1.0*Thurston*Pennock*None*1:42*D*20,000*-*None
Monday, Sep 15*boxscore*NYY*@*CHW*W*2*0*None*82-59*1* Tied*Jones*Faber*None*1:34*D*7,500*+*None
Wednesday, Sep 17*boxscore*NYY*@*SLB*W*7*3*None*83-59*1* Tied*Hoyt*Shocker*None*1:50*D*7,500*++*None
Wednesday, Sep 17*boxscore*NYY*@*SLB*W*8*7*None*84-59*1* Tied*Bush*Davis*Pennock*2:06*D*None*+++*1924-09-16 (Rain)
Thursday, Sep 18*boxscore*NYY*@*SLB*W*2*1*10*85-59*1* Tied*Shawkey*Wingard*None*1:52*D*None*++++*None
Friday, Sep 19*boxscore*NYY*@*DET*L*5*6*None*85-60*2* 1.0*Wells*Hoyt*None*2:13*D*10,000*-*None
Saturday, Sep 20*boxscore*NYY*@*DET*L*5*6*None*85-61*2* 1.0*Holloway*Bush*None*2:30*D*6,000*--*None
Sunday, Sep 21*boxscore*NYY*@*DET*L*3*4*None*85-62*2* 2.0*Whitehill*Hoyt*Dauss*2:22*D*40*---*None
Monday, Sep 22*boxscore*NYY*@*CLE*W*10*4*None*86-62*2* 2.0*Bush*Coveleski*None*1:55*D*6,000*+*None
Tuesday, Sep 23*boxscore*NYY*@*CLE*W*8*2*None*87-62*2* 2.0*Shawkey*Smith*None*1:55*D*5,000*++*None
Wednesday, Sep 24*boxscore*NYY*@*CLE*W*2*0*None*88-62*2* 2.0*Jones*Uhle*None*1:50*D*None*+++*None
Friday, Sep 26*boxscore*NYY*@*PHA*W*7*1*None*89-62*2* 1.0*Pennock*Gray*None*1:43*D*12,000*++++*None
Saturday, Sep 27*boxscore*NYY*@*PHA*L*3*4*None*89-63*2* 2.0*Rommel*Bush*None*1:35*D*25,000*-*None
