"date","boxscore","team","home_or_away","opponent","win_or_loss","runs","runs_allowed","innings","win_loss_record","rank","games_behind","win","loss","save","time","day_or_night","attendance","streak","originally_scheduled","year"
"Saturday, Jul 21","boxscore","HOU","None","STL","W","7","3","None","36-59","8"," 27.0","Johnson","Simmons","Golden","2:27","N","12,742","+","None",1962
"Sunday, Jul 22","boxscore","HOU","None","STL","L","1","3","None","36-60","8"," 28.0","Gibson","Bruce","McDaniel","2:14","D","8,685","-","None",1962
"Monday, Jul 23","boxscore","HOU","None","SFG","L","1","5","None","36-61","8"," 29.0","Bolin","Woodeshick","None","2:37","N","12,096","--","None",1962
"Tuesday, Jul 24","boxscore","HOU","None","SFG","L","1","3","None","36-62","8"," 29.0","Sanford","Farrell","Larsen","2:42","N","11,289","---","None",1962
"Wednesday, Jul 25","boxscore","HOU","None","SFG","L","2","3","None","36-63","8"," 30.0","O'Dell","Golden","Miller","2:45","N","12,344","----","None",1962
"Friday, Jul 27","boxscore","HOU","@","CHC","L","1","5","None","36-64","9"," 31.0","Ellsworth","Woodeshick","None","2:11","D","6,111","-----","None",1962
"Sunday, Jul 29","boxscore","HOU","@","CHC","L","2","4","None","36-65","9"," 32.0","Koonce","Golden","Cardwell","3:01","D","None","------","None",1962
"Sunday, Jul 29","boxscore","HOU","@","CHC","W","3","1","None","37-65","9"," 32.0","Farrell","Hobbie","None","2:07","D","10,334","+","1962-07-28 (Rain)",1962
"Wednesday, Aug 1","boxscore","HOU","@","MLN","L","0","3","None","37-66","9"," 32.0","Shaw","Woodeshick","None","2:23","N","10,829","-","None",1962
"Thursday, Aug 2","boxscore","HOU","@","MLN","W","3","0","None","38-66","9"," 32.0","Farrell","Burdette","None","2:20","N","8,338","+","None",1962
"Friday, Aug 3","boxscore","HOU","@","STL","W","8","3","None","39-66","8"," 32.0","Johnson","Gibson","McMahon","2:42","N","11,853","++","None",1962
"Saturday, Aug 4","boxscore","HOU","@","STL","L","0","2","None","39-67","8"," 33.0","Washburn","Bruce","None","2:06","D","9,390","-","None",1962
"Sunday, Aug 5","boxscore","HOU","@","STL","W","7","4","None","40-67","8"," 33.0","Kemmerer","McDaniel","McMahon","3:00","D","None","+","None",1962
"Sunday, Aug 5","boxscore","HOU","@","STL","L","4","7","None","40-68","8"," 33.0","Toth","Woodeshick","None","2:12","D","14,954","-","None",1962
"Monday, Aug 6","boxscore","HOU","None","CIN","L","0","1","13","40-69","8"," 34.0","Klippstein","McMahon","None","3:29","N","8,507","--","None",1962
"Tuesday, Aug 7","boxscore","HOU","None","CIN","L","0","3","None","40-70","8"," 35.0","Jay","Johnson","None","2:28","N","6,523","---","None",1962
"Wednesday, Aug 8","boxscore","HOU","None","CIN","L","0","4","None","40-71","9"," 36.0","Nuxhall","Bruce","Brosnan","2:29","N","7,350","----","None",1962
"Thursday, Aug 9","boxscore","HOU","None","CIN","L","3","7","None","40-72","9"," 37.0","O'Toole","Woodeshick","None","2:30","N","5,196","-----","None",1962
"Friday, Aug 10","boxscore","HOU","None","MLN","L","6","7","None","40-73","9"," 37.0","Spahn","Brunet","Raymond","2:53","N","7,047","------","None",1962
"Saturday, Aug 11","boxscore","HOU","None","MLN","L","1","3","None","40-74","9"," 37.0","Shaw","Farrell","Raymond","2:38","N","14,630","-------","None",1962
"Sunday, Aug 12","boxscore","HOU","None","MLN","W","8","5","None","41-74","9"," 36.0","Bruce","Burdette","Kemmerer","2:45","D","4,902","+","None",1962
"Tuesday, Aug 14","boxscore","HOU","None","STL","W-wo","4","3","10","42-74","8"," 35.0","McMahon","Gibson","None","2:53","N","9,604","++","None",1962
"Wednesday, Aug 15","boxscore","HOU","None","STL","W","3","1","None","43-74","8"," 34.0","Woodeshick","Washburn","Kemmerer","2:05","N","8,843","+++","None",1962
"Thursday, Aug 16","boxscore","HOU","None","STL","L","1","3","None","43-75","9"," 35.0","Jackson","Farrell","None","2:14","N","9,159","-","None",1962
