"date","boxscore","team","home_or_away","opponent","win_or_loss","runs","runs_allowed","innings","win_loss_record","rank","win","loss","save","time","day_or_night","attendance","streak","originally_scheduled","year","games_ahead","run_diff","r_so_far","ra_so_far","rd_so_far","wins_so_far","losses_so_far","record_so_far","attendance_so_far"
"Saturday, Jul 5","boxscore","SFG","None","STL","W-wo",5,4,"None","40-37",3,"McCormick","Jackson","None","2:16","D",22679,"+","None",1958,-1.5,1,375,346,29,39,37,0.513157894736842,NA
"Sunday, Jul 6","boxscore","SFG","None","STL","W-wo",5,4,"None","41-37",2,"Worthington","Jackson","None","2:30","D",22736,"++","None",1958,-1.5,1,380,350,30,40,37,0.519480519480519,NA
"Thursday, Jul 10","boxscore","SFG","None","CIN","L",0,4,"None","41-38",2,"Purkey","Worthington","None","2:30","N",19349,"-","None",1958,-2,-4,380,354,26,40,38,0.512820512820513,NA
"Friday, Jul 11","boxscore","SFG","None","CIN","W-wo",7,4,"12","42-38",2,"Monzant","Jeffcoat","None","3:39","D",10216,"+","None",1958,-2,3,387,358,29,41,38,0.518987341772152,NA
"Saturday, Jul 12","boxscore","SFG","None","MLN","W",5,3,"None","43-38",2,"Antonelli","Spahn","None","2:21","D",22806,"++","None",1958,-1,2,392,361,31,42,38,0.525,NA
"Sunday, Jul 13","boxscore","SFG","None","MLN","W-wo",6,5,"None","44-38",1,"McCormick","Johnson","None","2:45","D",22833,"+++","None",1958,0,1,398,366,32,43,38,0.530864197530864,NA
"Monday, Jul 14","boxscore","SFG","None","MLN","L",3,12,"None","44-39",2,"Burdette","Worthington","None","3:14","D",22864,"-","None",1958,-1,-9,401,378,23,43,39,0.524390243902439,NA
"Tuesday, Jul 15","boxscore","SFG","None","PHI","W",1,0,"None","45-39",2,"McCormick","Roberts","None","2:05","N",14523,"+","None",1958,-1,1,402,378,24,44,39,0.530120481927711,NA
"Wednesday, Jul 16","boxscore","SFG","None","PHI","W",9,2,"None","46-39",2,"Antonelli","Sanford","None","2:19","D",10250,"++","None",1958,-1,7,411,380,31,45,39,0.535714285714286,NA
"Thursday, Jul 17","boxscore","SFG","None","PHI","W-wo",8,7,"None","47-39",2,"Grissom","Farrell","None","3:00","D",10259,"+++","None",1958,-1,1,419,387,32,46,39,0.541176470588235,NA
"Friday, Jul 18","boxscore","SFG","None","PIT","W",5,4,"None","48-39",1,"Miller","Law","Grissom","2:00","N",22770,"++++","None",1958,0,1,424,391,33,47,39,0.546511627906977,NA
"Saturday, Jul 19","boxscore","SFG","None","PIT","W",5,4,"None","49-39",1,"Monzant","Porterfield","Antonelli","2:30","D",19685,"+++++","None",1958,0,1,429,395,34,48,39,0.551724137931034,NA
"Sunday, Jul 20","boxscore","SFG","None","PIT","W",7,3,"None","50-39",1,"Giel","Friend","Gomez","2:30","D",22814,"++++++","None",1958,0,4,436,398,38,49,39,0.556818181818182,NA
"Wednesday, Jul 23","boxscore","SFG","@","PHI","L",0,2,"None","50-40",2,"Semproch","McCormick","None","2:43","N",23050,"-","None",1958,-1,-2,436,400,36,49,40,0.550561797752809,NA
"Friday, Jul 25","boxscore","SFG","@","PIT","L",0,10,"None","50-41",2,"Raydon","Miller","None","2:36","N",30545,"--","None",1958,-1,-10,436,410,26,49,41,0.544444444444444,NA
"Saturday, Jul 26","boxscore","SFG","@","PIT","W",1,0,"None","51-41",1,"Antonelli","Law","Grissom","2:14","D",15549,"+","None",1958,0,1,437,410,27,50,41,0.549450549450549,NA
"Sunday, Jul 27","boxscore","SFG","@","PIT","L-wo",1,2,"14","51-42",2,"Gross","Monzant","None","3:37","D",NA,"-","None",1958,-1.5,-1,438,412,26,50,42,0.543478260869565,NA
"Sunday, Jul 27","boxscore","SFG","@","PIT","L",3,4,"None","51-43",2,"Porterfield","Giel","None","2:14","D",31718,"--","None",1958,-1.5,-1,441,416,25,50,43,0.537634408602151,NA
"Monday, Jul 28","boxscore","SFG","@","PHI","W",3,2,"None","52-43",2,"McCormick","Farrell","None","2:05","D",NA,"+","1958-07-22 (Wet grounds)",1958,-0.5,1,444,418,26,51,43,0.542553191489362,NA
"Monday, Jul 28","boxscore","SFG","@","PHI","W",2,1,"None","53-43",2,"Gomez","Meyer","None","2:20","N",29805,"++","1958-06-21 (Rain)",1958,-0.5,1,446,419,27,52,43,0.547368421052632,NA
"Tuesday, Jul 29","boxscore","SFG","@","CIN","W",4,3,"None","54-43",1,"Grissom","Schmidt","None","2:20","N",12430,"+++","None",1958,0.5,1,450,422,28,53,43,0.552083333333333,NA
"Wednesday, Jul 30","boxscore","SFG","@","CIN","L",1,5,"None","54-44",2,"Purkey","Antonelli","None","2:17","N",10471,"-","None",1958,-0.5,-4,451,427,24,53,44,0.54639175257732,NA
"Thursday, Jul 31","boxscore","SFG","@","CIN","L-wo",9,10,"None","54-45",2,"Nuxhall","Gomez","None","3:03","N",7492,"--","None",1958,-1.5,-1,460,437,23,53,45,0.540816326530612,NA
