"date","boxscore","team","home_or_away","opponent","win_or_loss","runs","runs_allowed","innings","win_loss_record","rank","win","loss","save","time","day_or_night","attendance","streak","originally_scheduled","year","games_ahead","run_diff","r_so_far","ra_so_far","rd_so_far","wins_so_far","losses_so_far","win_loss_differential","record_so_far","attendance_so_far"
"Saturday, Jul 9","boxscore","SEA","@","MIN","W",5,2,"None","37-50",7,"Pole","Goltz","Romo","2:45","N",23401,"++","None",1977,-15,3,346,431,-85,37,50,-13,0.425287356321839,NA
"Sunday, Jul 10","boxscore","SEA","@","MIN","L",0,15,"None","37-51",7,"Zahn","Thomas","None","2:40","D",34213,"-","None",1977,-15,-15,346,446,-100,37,51,-14,0.420454545454545,NA
"Monday, Jul 11","boxscore","SEA","@","OAK","L",1,8,"None","37-52",7,"Coleman","House","Lacey","2:22","N",8760,"--","None",1977,-16,-7,347,454,-107,37,52,-15,0.415730337078652,NA
"Tuesday, Jul 12","boxscore","SEA","@","OAK","L-wo",2,3,"10","37-53",7,"Blue","Romo","None","2:40","N",5299,"---","None",1977,-16,-1,349,457,-108,37,53,-16,0.411111111111111,NA
"Wednesday, Jul 13","boxscore","SEA","@","OAK","W",3,1,"None","38-53",7,"Abbott","Langford","None","2:08","N",4529,"+","None",1977,-15.5,2,352,458,-106,38,53,-15,0.417582417582418,NA
"Thursday, Jul 14","boxscore","SEA","@","CAL","W",4,1,"None","39-53",7,"Pole","Brett","Romo","2:17","N",11400,"++","None",1977,-15.5,3,356,459,-103,39,53,-14,0.423913043478261,NA
"Friday, Jul 15","boxscore","SEA","@","CAL","W",6,2,"None","40-53",7,"House","Nolan","None","2:15","N",11383,"+++","None",1977,-15.5,4,362,461,-99,40,53,-13,0.43010752688172,NA
"Saturday, Jul 16","boxscore","SEA","@","CAL","L",4,5,"None","40-54",7,"Ryan","Romo","None","2:28","N",29068,"-","None",1977,-15.5,-1,366,466,-100,40,54,-14,0.425531914893617,NA
"Sunday, Jul 17","boxscore","SEA","@","CAL","W",8,7,"None","41-54",7,"Kekich","LaRoche","None","2:57","D",10879,"+","None",1977,-15.5,1,374,473,-99,41,54,-13,0.431578947368421,NA
"Thursday, Jul 21","boxscore","SEA","None","OAK","W",4,3,"None","42-54",6,"Abbott","Langford","Romo","2:19","N",17382,"++","None",1977,-15,1,378,476,-98,42,54,-12,0.4375,NA
"Friday, Jul 22","boxscore","SEA","None","OAK","L",3,5,"None","42-55",7,"Blue","Pole","Lacey","2:47","N",13960,"-","None",1977,-16,-2,381,481,-100,42,55,-13,0.43298969072165,NA
"Saturday, Jul 23","boxscore","SEA","None","OAK","W",10,3,"None","43-55",6,"Wheelock","Norris","None","2:33","D",12216,"+","None",1977,-16,7,391,484,-93,43,55,-12,0.438775510204082,NA
"Sunday, Jul 24","boxscore","SEA","None","CAL","L",1,3,"None","43-56",6,"Hartzell","House","Miller","1:58","D",NA,"-","None",1977,-17.5,-2,392,487,-95,43,56,-13,0.434343434343434,NA
"Sunday, Jul 24","boxscore","SEA","None","CAL","L",3,4,"None","43-57",6,"Simpson","Galasso","LaRoche","2:28","D",25344,"--","None",1977,-17.5,-1,395,491,-96,43,57,-14,0.43,NA
"Monday, Jul 25","boxscore","SEA","None","CAL","L",2,7,"None","43-58",6,"Ryan","Pole","None","2:43","N",10886,"---","None",1977,-18.5,-5,397,498,-101,43,58,-15,0.425742574257426,NA
"Tuesday, Jul 26","boxscore","SEA","None","MIN","W",9,7,"None","44-58",6,"Abbott","Thormodsgard","Segui","2:51","N",12017,"+","None",1977,-18.5,2,406,505,-99,44,58,-14,0.431372549019608,NA
"Wednesday, Jul 27","boxscore","SEA","None","MIN","L",1,4,"None","44-59",6,"Redfern","House","None","2:22","N",16869,"-","None",1977,-18.5,-3,407,509,-102,44,59,-15,0.427184466019417,NA
"Thursday, Jul 28","boxscore","SEA","None","MIN","W",5,2,"None","45-59",6,"Wheelock","Zahn","Montague","2:12","D",11759,"+","None",1977,-18,3,412,511,-99,45,59,-14,0.432692307692308,NA
"Friday, Jul 29","boxscore","SEA","None","BAL","L",4,5,"None","45-60",6,"Drago","Kekich","None","2:46","N",14313,"-","None",1977,-19,-1,416,516,-100,45,60,-15,0.428571428571429,NA
"Saturday, Jul 30","boxscore","SEA","None","BAL","L",3,5,"11","45-61",6,"Martinez","Montague","None","2:49","N",31609,"--","None",1977,-20,-2,419,521,-102,45,61,-16,0.424528301886792,NA
"Sunday, Jul 31","boxscore","SEA","None","BAL","W",6,1,"None","46-61",6,"Abbott","Palmer","None","2:04","D",11464,"+","None",1977,-19.5,5,425,522,-97,46,61,-15,0.429906542056075,NA
"Tuesday, Aug 2","boxscore","SEA","None","BOS","L",2,3,"10","46-62",6,"Campbell","Montague","None","3:07","N",24344,"-","None",1977,-19,-1,427,525,-98,46,62,-16,0.425925925925926,NA
"Wednesday, Aug 3","boxscore","SEA","None","BOS","L",4,12,"None","46-63",6,"Paxton","Wheelock","None","3:06","N",21152,"--","None",1977,-19,-8,431,537,-106,46,63,-17,0.422018348623853,NA
"Friday, Aug 5","boxscore","SEA","None","NYY","W",5,3,"None","47-63",6,"Pole","Figueroa","Romo","2:38","N",36833,"+","None",1977,-18.5,2,436,540,-104,47,63,-16,0.427272727272727,NA
"Saturday, Aug 6","boxscore","SEA","None","NYY","W",9,2,"None","48-63",6,"Abbott","Hunter","None","1:55","N",42146,"++","None",1977,-17.5,7,445,542,-97,48,63,-15,0.432432432432432,NA
"Sunday, Aug 7","boxscore","SEA","None","NYY","L",1,7,"None","48-64",6,"Torrez","Montague","None","2:21","D",29412,"-","None",1977,-17.5,-6,446,549,-103,48,64,-16,0.428571428571429,NA
"Monday, Aug 8","boxscore","SEA","@","CHW","L-wo",4,5,"None","48-65",6,"Wiles","Romo","None","2:21","N",17047,"--","None",1977,-18.5,-1,450,554,-104,48,65,-17,0.424778761061947,NA
"Tuesday, Aug 9","boxscore","SEA","@","CHW","L",3,13,"None","48-66",6,"Stone","Wheelock","None","2:44","N",12294,"---","None",1977,-19.5,-10,453,567,-114,48,66,-18,0.421052631578947,NA
"Wednesday, Aug 10","boxscore","SEA","@","BAL","L",4,5,"None","48-67",6,"May","Pole","Drago","2:30","N",7579,"----","None",1977,-19.5,-1,457,572,-115,48,67,-19,0.417391304347826,NA
"Thursday, Aug 11","boxscore","SEA","@","BAL","L-wo",3,4,"None","48-68",6,"Drago","Romo","None","2:47","N",7893,"-----","None",1977,-19.5,-1,460,576,-116,48,68,-20,0.413793103448276,NA
"Friday, Aug 12","boxscore","SEA","@","BOS","L",2,7,"None","48-69",6,"Wise","Mitchell","None","2:55","N",27005,"------","None",1977,-20,-5,462,583,-121,48,69,-21,0.41025641025641,NA
"Saturday, Aug 13","boxscore","SEA","@","BOS","L",6,13,"None","48-70",6,"Jenkins","Galasso","None","2:41","D",34095,"-------","None",1977,-20.5,-7,468,596,-128,48,70,-22,0.406779661016949,NA
"Sunday, Aug 14","boxscore","SEA","@","BOS","L",1,11,"None","48-71",6,"Paxton","Wheelock","None","2:36","D",31223,"--------","None",1977,-20.5,-10,469,607,-138,48,71,-23,0.403361344537815,NA
"Monday, Aug 15","boxscore","SEA","@","DET","L",1,13,"None","48-72",6,"Sykes","Pole","None","2:14","N",14414,"---------","None",1977,-21,-12,470,620,-150,48,72,-24,0.4,NA
"Tuesday, Aug 16","boxscore","SEA","@","DET","W",3,2,"None","49-72",6,"Abbott","Morris","None","2:10","N",9065,"+","None",1977,-20,1,473,622,-149,49,72,-23,0.40495867768595,NA
"Wednesday, Aug 17","boxscore","SEA","@","MIN","W",3,2,"None","50-72",6,"Mitchell","Zahn","Romo","2:38","N",11739,"++","None",1977,-19.5,1,476,624,-148,50,72,-22,0.409836065573771,NA
"Thursday, Aug 18","boxscore","SEA","@","MIN","L",2,8,"None","50-73",6,"Thormodsgard","Galasso","None","2:23","D",13884,"-","None",1977,-20.5,-6,478,632,-154,50,73,-23,0.40650406504065,NA
"Friday, Aug 19","boxscore","SEA","None","DET","L",4,6,"None","50-74",6,"Rozema","Pole","Taylor","2:55","N",19698,"--","None",1977,-20.5,-2,482,638,-156,50,74,-24,0.403225806451613,NA
"Saturday, Aug 20","boxscore","SEA","None","DET","L",3,7,"None","50-75",6,"Wilcox","Abbott","None","2:35","N",55670,"---","None",1977,-21,-4,485,645,-160,50,75,-25,0.4,NA
