"date","boxscore","team","home_or_away","opponent","win_or_loss","runs","runs_allowed","innings","win_loss_record","rank","win","loss","save","time","day_or_night","attendance","streak","originally_scheduled","year","games_ahead","run_diff","r_so_far","ra_so_far","rd_so_far","wins_so_far","losses_so_far","win_loss_differential","record_so_far","attendance_so_far"
"Thursday, Aug 24","None","STL","None","PIT","L",2,7,"None","29-36",5,"None","None","None","None","None",NA,"--","None",1882,-15,-5,327,427,-100,28,37,-9,0.430769230769231,NA
"Saturday, Aug 26","None","STL","None","PIT","W",4,1,"None","30-36",5,"None","None","None","None","None",NA,"+","1882-05-13 (Rain; Site change)",1882,-14.5,3,331,428,-97,29,37,-8,0.439393939393939,NA
"Sunday, Aug 27","None","STL","None","PIT","W",3,2,"None","31-36",4,"None","None","None","None","None",NA,"++","1882-07-14 (Unknown reason; Site change)",1882,-14.5,1,334,430,-96,30,37,-7,0.447761194029851,NA
"Tuesday, Aug 29","None","STL","None","BAL","W",3,2,"None","32-36",4,"None","None","None","None","None",NA,"+++","None",1882,-13.5,1,337,432,-95,31,37,-6,0.455882352941176,NA
"Thursday, Aug 31","None","STL","None","BAL","L",5,6,"None","32-37",4,"None","None","None","None","None",NA,"-","None",1882,-13.5,-1,342,438,-96,31,38,-7,0.449275362318841,NA
"Saturday, Sep 2","None","STL","None","BAL","W",11,4,"None","33-37",4,"None","None","None","None","None",NA,"+","None",1882,-13.5,7,353,442,-89,32,38,-6,0.457142857142857,NA
"Sunday, Sep 3","None","STL","None","BAL","W",10,2,"None","34-37",4,"None","None","None","None","None",NA,"++","1882-08-28 (Unknown reason)",1882,-13,8,363,444,-81,33,38,-5,0.464788732394366,NA
"Tuesday, Sep 5","None","STL","None","CIN","L",3,7,"None","34-38",5,"None","None","None","None","None",NA,"-","None",1882,-14,-4,366,451,-85,33,39,-6,0.458333333333333,NA
"Thursday, Sep 7","None","STL","None","CIN","L",1,4,"None","34-39",5,"None","None","None","None","None",NA,"--","None",1882,-15,-3,367,455,-88,33,40,-7,0.452054794520548,NA
"Saturday, Sep 9","None","STL","None","CIN","W",4,3,"None","35-39",5,"None","None","None","None","None",NA,"+","None",1882,-14,1,371,458,-87,34,40,-6,0.459459459459459,NA
"Sunday, Sep 10","None","STL","None","CIN","L",1,9,"None","35-40",5,"None","None","None","None","None",NA,"-","1882-09-04 (Unknown reason)",1882,-15,-8,372,467,-95,34,41,-7,0.453333333333333,NA
"Tuesday, Sep 19","None","STL","@","CIN","W",7,3,"None","36-40",5,"None","None","None","None","None",NA,"+","1882-09-17 (Unknown reason)",1882,-15,4,379,470,-91,35,41,-6,0.460526315789474,NA
"Friday, Sep 22","None","STL","@","CIN","W",5,4,"None","37-40",5,"None","None","None","None","None",NA,"++","1882-09-20 (Unknown reason)",1882,-14,1,384,474,-90,36,41,-5,0.467532467532468,NA
"Saturday, Sep 23","None","STL","@","CIN","L",1,4,"None","37-41",5,"None","None","None","None","None",NA,"-","None",1882,-15,-3,385,478,-93,36,42,-6,0.461538461538462,NA
"Saturday, Sep 30","None","STL","None","LOU","L",3,6,"None","37-42",5,"None","None","None","None","None",NA,"--","1882-09-30 (Site change)",1882,-17.5,-3,388,484,-96,36,43,-7,0.455696202531646,NA
"Sunday, Oct 1","None","STL","None","LOU","L",1,5,"None","37-43",5,"None","None","None","None","None",NA,"---","1882-07-01 (Unknown reason)",1882,-18,-4,389,489,-100,36,44,-8,0.45,NA
"Wednesday, May 2","None","STL","@","CIN","L",1,12,"None","0-2",6,"None","None","None","None","None",NA,"--","None",1883,-2,-11,1,12,-11,0,1,-1,0,NA
"Thursday, May 3","None","STL","@","CIN","L",2,3,"None","0-3",8,"None","None","None","None","None",NA,"---","None",1883,-3,-1,3,15,-12,0,2,-2,0,NA
"Saturday, May 5","None","STL","@","COL","L",4,6,"None","0-4",8,"None","None","None","None","None",NA,"----","None",1883,-4,-2,7,21,-14,0,3,-3,0,NA
"Sunday, May 6","None","STL","@","COL","W",9,1,"None","1-4",8,"None","None","None","None","None",NA,"+","None",1883,-3.5,8,16,22,-6,1,3,-2,0.25,NA
"Monday, May 7","None","STL","@","COL","L",3,4,"None","1-5",8,"None","None","None","None","None",NA,"-","None",1883,-3.5,-1,19,26,-7,1,4,-3,0.2,NA
"Friday, May 11","None","STL","@","LOU","W",7,4,"None","2-5",7,"None","None","None","None","None",NA,"+","1883-05-10 (Rain)",1883,-4,3,26,30,-4,2,4,-2,0.333333333333333,NA
"Saturday, May 12","None","STL","@","LOU","L",0,4,"None","2-6",7,"None","None","None","None","None",NA,"-","None",1883,-5,-4,26,34,-8,2,5,-3,0.285714285714286,NA
"Sunday, May 13","None","STL","@","LOU","W",4,3,"None","3-6",6,"None","None","None","None","None",NA,"+","None",1883,-4.5,1,30,37,-7,3,5,-2,0.375,NA
"Tuesday, May 15","None","STL","None","CIN","W",7,4,"None","4-6",5,"None","None","None","None","None",NA,"++","None",1883,-4.5,3,37,41,-4,4,5,-1,0.444444444444444,NA
"Wednesday, May 16","None","STL","None","CIN","W",9,5,"None","5-6",4,"None","None","None","None","None",NA,"+++","None",1883,-4.5,4,46,46,0,5,5,0,0.5,NA
"Thursday, May 17","None","STL","None","CIN","L",3,6,"None","5-7",4,"None","None","None","None","None",NA,"-","None",1883,-5.5,-3,49,52,-3,5,6,-1,0.454545454545455,NA
"Saturday, May 19","None","STL","None","COL","W",4,0,"None","6-7",4,"None","None","None","None","None",NA,"+","None",1883,-5.5,4,53,52,1,6,6,0,0.5,NA
"Sunday, May 20","None","STL","None","COL","W",5,1,"None","7-7",4,"None","None","None","None","None",NA,"++","None",1883,-5,4,58,53,5,7,6,1,0.538461538461538,NA
"Tuesday, May 22","None","STL","None","COL","W",6,3,"None","8-7",3,"None","None","None","None","None",NA,"+++","None",1883,-5.5,3,64,56,8,8,6,2,0.571428571428571,NA
"Thursday, May 24","None","STL","None","LOU","W",5,4,"None","9-7",3,"None","None","None","None","None",NA,"++++","None",1883,-5.5,1,69,60,9,9,6,3,0.6,NA
"Saturday, May 26","None","STL","None","LOU","L",2,4,"None","9-8",3,"None","None","None","None","None",NA,"-","None",1883,-6,-2,71,64,7,9,7,2,0.5625,NA
"Sunday, May 27","None","STL","None","LOU","L",5,6,"None","9-9",4,"None","None","None","None","None",NA,"--","None",1883,-6.5,-1,76,70,6,9,8,1,0.529411764705882,NA
"Tuesday, May 29","None","STL","@","PIT","W",10,5,"None","10-9",4,"None","None","None","None","None",NA,"+","None",1883,-6.5,5,86,75,11,10,8,2,0.555555555555556,NA
"Wednesday, May 30","None","STL","@","PIT","W",4,2,"None","11-9",5,"None","None","None","None","None",NA,"++","None",1883,-6.5,2,90,77,13,11,8,3,0.578947368421053,NA
"Wednesday, May 30","None","STL","@","PIT","L",4,10,"None","11-10",5,"None","None","None","None","None",NA,"-","None",1883,-6.5,-6,94,87,7,11,9,2,0.55,NA
"Saturday, Jun 2","None","STL","@","BAL","W",5,4,"None","12-10",5,"None","None","None","None","None",NA,"+","None",1883,-6,1,99,91,8,12,9,3,0.571428571428571,NA
"Monday, Jun 4","None","STL","@","BAL","W",8,2,"None","13-10",4,"None","None","None","None","None",NA,"++","None",1883,-6,6,107,93,14,13,9,4,0.590909090909091,NA
"Tuesday, Jun 5","None","STL","@","BAL","W",6,3,"None","14-10",4,"None","None","None","None","None",NA,"+++","None",1883,-5.5,3,113,96,17,14,9,5,0.608695652173913,NA
"Friday, Jun 8","None","STL","@","PHA","L",5,7,"None","14-11",4,"None","None","None","None","None",NA,"-","None",1883,-6.5,-2,118,103,15,14,10,4,0.583333333333333,NA
"Saturday, Jun 9","None","STL","@","PHA","W",3,0,"None","15-11",4,"None","None","None","None","None",NA,"+","None",1883,-5.5,3,121,103,18,15,10,5,0.6,NA
"Monday, Jun 11","None","STL","@","PHA","W",9,7,"None","16-11",2,"None","None","None","None","None",NA,"++","1883-06-07 (Rain)",1883,-4.5,2,130,110,20,16,10,6,0.615384615384615,NA
"Tuesday, Jun 12","None","STL","@","NYP","W",4,0,"None","17-11",2,"None","None","None","None","None",NA,"+++","None",1883,-4.5,4,134,110,24,17,10,7,0.62962962962963,NA
"Wednesday, Jun 13","None","STL","@","NYP","W",4,1,"None","18-11",2,"None","None","None","None","None",NA,"++++","None",1883,-3.5,3,138,111,27,18,10,8,0.642857142857143,NA
"Thursday, Jun 14","None","STL","@","NYP","W",6,5,"None","19-11",2,"None","None","None","None","None",NA,"+++++","None",1883,-2.5,1,144,116,28,19,10,9,0.655172413793103,NA
"Sunday, Jun 17","None","STL","None","NYP","W",7,5,"None","20-11",2,"None","None","None","None","None",NA,"++++++","None",1883,-2,2,151,121,30,20,10,10,0.666666666666667,NA
