Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak,Orig. Scheduled
112,Tuesday Aug 6,boxscore,STL,,LAD,W,5,1,,66-46,2,2.0,Kelly,Kershaw,,3:14,N,41770,+,
113,Wednesday Aug 7,boxscore,STL,,LAD,L,4,13,,66-47,2,3.0,Nolasco,Westbrook,,3:47,N,43523,-,
114,Thursday Aug 8,boxscore,STL,,LAD,L,1,5,,66-48,2,4.0,Ryu,Martinez,,3:02,N,42567,--,
115,Friday Aug 9,boxscore,STL,,CHC,L,0,3,,66-49,2,4.0,Rusin,Lynn,Gregg,3:14,N,42664,---,
116,Saturday Aug 10,boxscore,STL,,CHC,L,5,6,,66-50,2,4.0,Parker,Rosenthal,Gregg,3:08,N,43908,----,
117,Sunday Aug 11,boxscore,STL,,CHC,W,8,4,,67-50,2,3.0,Choate,Parker,Mujica,3:44,D,43240,+,
118,Tuesday Aug 13,boxscore,STL,,PIT,W-wo,4,3,14,68-50,2,2.0,Freeman,Hughes,,4:55,N,40243,++,
119,Wednesday Aug 14,boxscore,STL,,PIT,L,1,5,,68-51,2,3.0,Liriano,Miller,,2:30,N,40644,-,
120,Thursday Aug 15,boxscore,STL,,PIT,W-wo,6,5,12,69-51,2,2.0,Siegrist,Morris,,4:11,D,41502,+,
121,Friday Aug 16,boxscore,STL,@,CHC,L,0,7,,69-52,2,3.0,Arrieta,Westbrook,,2:38,D,35258,-,
122,Saturday Aug 17,boxscore,STL,@,CHC,W,4,0,,70-52,2,2.0,Kelly,Wood,,3:12,D,41981,+,
123,Sunday Aug 18,boxscore,STL,@,CHC,W,6,1,,71-52,2,1.0,Wainwright,Jackson,,3:11,D,33830,++,
124,Monday Aug 19,boxscore,STL,@,MIL,W,8,5,,72-52,2,1.0,Wacha,Kintzler,Mujica,3:26,N,32972,+++,
125,Tuesday Aug 20,boxscore,STL,@,MIL,L,3,6,,72-53,2,2.0,Lohse,Lynn,Henderson,2:55,N,38093,-,
126,Wednesday Aug 21,boxscore,STL,@,MIL,W,8,6,,73-53,2,1.0,Siegrist,Gorzelanny,Mujica,3:18,D,37028,+,
127,Thursday Aug 22,boxscore,STL,,ATL,W,6,2,,74-53,2,1.0,Kelly,Maholm,,2:56,N,37363,++,
128,Friday Aug 23,boxscore,STL,,ATL,W,3,1,,75-53,2,1.0,Wainwright,Medlen,,2:31,N,41134,+++,
129,Saturday Aug 24,boxscore,STL,,ATL,W,6,2,,76-53,1,Tied,Miller,Teheran,Mujica,2:59,N,43633,++++,
130,Sunday Aug 25,boxscore,STL,,ATL,L,2,5,,76-54,1,Tied,Minor,Lynn,Kimbrel,2:41,D,44009,-,
131,Monday Aug 26,boxscore,STL,,CIN,W,8,6,,77-54,1,up 0.5,Martinez,Parra,Mujica,2:49,N,35159,+,
132,Tuesday Aug 27,boxscore,STL,,CIN,W,6,1,,78-54,1,up 1.5,Kelly,Latos,,3:02,N,35201,++,
133,Wednesday Aug 28,boxscore,STL,,CIN,L,0,10,,78-55,1,up 0.5,Bailey,Wainwright,,3:00,N,35698,-,
134,Friday Aug 30,boxscore,STL,@,PIT,L,0,5,,78-56,1,Tied,Liriano,Miller,,2:28,N,38026,--,
135,Saturday Aug 31,boxscore,STL,@,PIT,L,1,7,,78-57,2,1.0,Burnett,Lynn,,2:48,N,39514,---,
136,Sunday Sep 1,boxscore,STL,@,PIT,W,7,2,,79-57,1,Tied,Kelly,Johnson,,3:09,D,37912,+,
137,Monday Sep 2,boxscore,STL,@,CIN,L,2,7,,79-58,2,1.0,Latos,Wainwright,,2:29,D,32951,-,
138,Tuesday Sep 3,boxscore,STL,@,CIN,L,0,1,,79-59,2,2.0,Bailey,Maness,Chapman,2:42,N,20219,--,
139,Wednesday Sep 4,boxscore,STL,@,CIN,W,5,4,16,80-59,2,1.0,Martinez,Ondrusek,,4:50,N,23894,+,
140,Thursday Sep 5,boxscore,STL,@,CIN,L,2,6,,80-60,2,1.5,Cingrani,Lynn,,3:04,N,21418,-,
141,Friday Sep 6,boxscore,STL,,PIT,W,12,8,,81-60,2,0.5,Kelly,Burnett,Mujica,3:47,N,40608,+,
142,Saturday Sep 7,boxscore,STL,,PIT,W,5,0,,82-60,1,up 0.5,Wainwright,Locke,,2:56,N,45110,++,
143,Sunday Sep 8,boxscore,STL,,PIT,W,9,2,,83-60,1,up 1.5,Wacha,Morton,,3:06,D,40156,+++,
