"date","boxscore","team","home_or_away","opponent","win_or_loss","runs","runs_allowed","innings","win_loss_record","rank","win","loss","save","time","day_or_night","attendance","streak","originally_scheduled","year","games_ahead","run_diff","r_so_far","ra_so_far","rd_so_far","wins_so_far","losses_so_far","win_loss_differential","record_so_far","attendance_so_far"
"Wednesday, Jun 25","boxscore","KCR","@","OAK","L",1,3,"None","27-41",5,"Hunter","Bunker","Fingers","1:47","N",4281,"-","None",1969,-11,-2,226,297,-71,27,42,-15,0.391304347826087,NA
"Thursday, Jun 26","boxscore","KCR","@","OAK","L",2,3,"None","27-42",5,"Dobson","Nelson","Fingers","2:16","D",5500,"--","None",1969,-12,-1,228,300,-72,27,43,-16,0.385714285714286,NA
"Friday, Jun 27","boxscore","KCR","None","MIN","W-wo",9,8,"None","28-42",5,"Drabowsky","Perranoski","None","3:05","N",11031,"+","None",1969,-11.5,1,237,308,-71,28,43,-15,0.394366197183099,NA
"Saturday, Jun 28","boxscore","KCR","None","MIN","W",7,4,"None","29-42",5,"Cisco","Boswell","Drabowsky","2:35","D",10283,"++","None",1969,-10.5,3,244,312,-68,29,43,-14,0.402777777777778,NA
"Sunday, Jun 29","boxscore","KCR","None","MIN","W",7,2,"None","30-42",5,"Bunker","Perry","None","2:22","D",NA,"+++","None",1969,-11.5,5,251,314,-63,30,43,-13,0.410958904109589,NA
"Sunday, Jun 29","boxscore","KCR","None","MIN","L",2,12,"None","30-43",5,"Kaat","Rooker","None","2:26","D",16738,"-","None",1969,-11.5,-10,253,326,-73,30,44,-14,0.405405405405405,NA
"Monday, Jun 30","boxscore","KCR","None","CAL","W-wo",2,1,"None","31-43",5,"Drabowsky","May","None","2:07","N",8092,"+","None",1969,-11,1,255,327,-72,31,44,-13,0.413333333333333,NA
"Tuesday, Jul 1","boxscore","KCR","None","CAL","L",3,9,"None","31-44",5,"Brunet","O'Riley","Fisher","2:41","N",9332,"-","None",1969,-11,-6,258,336,-78,31,45,-14,0.407894736842105,NA
"Wednesday, Jul 2","boxscore","KCR","None","CAL","W",1,0,"None","32-44",4,"Butler","Murphy","None","2:09","N",9323,"+","None",1969,-11,1,259,336,-77,32,45,-13,0.415584415584416,NA
"Thursday, Jul 3","boxscore","KCR","None","CAL","L",3,4,"None","32-45",5,"Messersmith","Bunker","Tatum","2:17","D",3454,"-","1969-04-26 (Rain)",1969,-12,-1,262,340,-78,32,46,-14,0.41025641025641,NA
"Friday, Jul 4","boxscore","KCR","None","SEP","W",13,2,"None","33-45",4,"Nelson","Talbot","None","2:14","D",NA,"+","None",1969,-10.5,11,275,342,-67,33,46,-13,0.417721518987342,NA
"Friday, Jul 4","boxscore","KCR","None","SEP","W",3,2,"None","34-45",4,"Drago","Gelnar","O'Riley","2:20","D",12944,"++","None",1969,-10.5,1,278,344,-66,34,46,-12,0.425,NA
"Saturday, Jul 5","boxscore","KCR","None","SEP","W",6,4,"None","35-45",4,"Burgmeier","Marshall","Drabowsky","2:46","N",10268,"+++","None",1969,-10.5,2,284,348,-64,35,46,-11,0.432098765432099,NA
"Sunday, Jul 6","boxscore","KCR","None","SEP","L",3,9,"None","35-46",4,"Brabender","Butler","Segui","2:29","D",26480,"-","None",1969,-11.5,-6,287,357,-70,35,47,-12,0.426829268292683,NA
"Monday, Jul 7","boxscore","KCR","@","MIN","L",5,6,"None","35-47",5,"Woodson","Rooker","None","2:07","N",9052,"--","None",1969,-12.5,-1,292,363,-71,35,48,-13,0.421686746987952,NA
"Tuesday, Jul 8","boxscore","KCR","@","MIN","L",3,4,"None","35-48",5,"Worthington","Drabowsky","Perranoski","2:50","N",13407,"---","None",1969,-13.5,-1,295,367,-72,35,49,-14,0.416666666666667,NA
"Wednesday, Jul 9","boxscore","KCR","@","MIN","W",4,3,"None","36-48",5,"Nelson","Woodson","None","2:53","N",15211,"+","None",1969,-12.5,1,299,370,-71,36,49,-13,0.423529411764706,NA
"Thursday, Jul 10","boxscore","KCR","@","MIN","L",5,6,"None","36-49",5,"Boswell","Drago","Perranoski","2:38","D",23920,"-","None",1969,-13.5,-1,304,376,-72,36,50,-14,0.418604651162791,NA
"Friday, Jul 11","boxscore","KCR","None","CHW","W",8,5,"None","37-49",5,"O'Riley","Osinski","Hedlund","2:57","N",12393,"+","None",1969,-13.5,3,312,381,-69,37,50,-13,0.425287356321839,NA
"Saturday, Jul 12","boxscore","KCR","None","CHW","W",7,0,"None","38-49",4,"Rooker","Horlen","None","2:10","D",11935,"++","None",1969,-13.5,7,319,381,-62,38,50,-12,0.431818181818182,NA
"Sunday, Jul 13","boxscore","KCR","None","CHW","W",8,4,"None","39-49",3,"Bunker","Nyman","Drabowsky","2:19","D",NA,"+++","None",1969,-14.5,4,327,385,-58,39,50,-11,0.438202247191011,NA
"Sunday, Jul 13","boxscore","KCR","None","CHW","L",1,4,"None","39-50",3,"Carlos","Hedlund","Wood","2:03","D",16316,"-","None",1969,-14.5,-3,328,389,-61,39,51,-12,0.433333333333333,NA
"Monday, Jul 14","boxscore","KCR","@","CAL","L",0,2,"None","39-51",3,"Brunet","Nelson","None","1:55","N",7205,"--","None",1969,-15.5,-2,328,391,-63,39,52,-13,0.428571428571429,NA
