Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak,Orig. Scheduled
126,Wednesday Aug 20,boxscore,KCR,@,COL,L,2,5,,70-56,1,up 1.0,De La Rosa,Duffy,Hawkins,2:37,N,28834,-,
127,Friday Aug 22,boxscore,KCR,@,TEX,W,6,3,,71-56,1,up 2.5,Ventura,Lewis,Holland,3:09,N,26991,+,
128,Saturday Aug 23,boxscore,KCR,@,TEX,W,6,3,,72-56,1,up 3.0,Guthrie,Tepesch,,2:37,N,27400,++,
129,Sunday Aug 24,boxscore,KCR,@,TEX,L,1,3,,72-57,1,up 2.0,Baker,Vargas,Feliz,2:46,D,30049,-,
130,Monday Aug 25,boxscore,KCR,,NYY,L,1,8,,72-58,1,up 1.5,Pineda,Shields,,3:02,N,31758,--,2014-06-09 (Rain)
131,Tuesday Aug 26,boxscore,KCR,,MIN,W-wo,2,1,,73-58,1,up 1.5,Davis,Perkins,,2:38,N,13847,+,
132,Wednesday Aug 27,boxscore,KCR,,MIN,W,6,1,,74-58,1,up 2.5,Davis,Hughes,,2:27,N,17668,++,
133,Thursday Aug 28,boxscore,KCR,,MIN,L,5,11,10,74-59,1,up 1.5,Swarzak,Chen,,3:50,N,17219,-,
134,Friday Aug 29,boxscore,KCR,,CLE,L,1,6,,74-60,1,up 0.5,Salazar,Vargas,,3:17,N,31341,--,
135,Saturday Aug 30,boxscore,KCR,,CLE,L,2,3,11,74-61,1,Tied,Tomlin,Downs,,4:23,N,35089,---,
136,Sunday Aug 31,boxscore,KCR,,CLE,L,3,4,10,74-62,1,Tied,Allen,Holland,Atchison,3:24,N,39009,----,
137,Monday Sep 1,boxscore,KCR,,TEX,W,4,3,,75-62,1,Tied,Ventura,Lewis,Holland,2:31,N,21536,+,
138,Tuesday Sep 2,boxscore,KCR,,TEX,W,2,1,,76-62,1,Tied,Frasor,Kirkman,Crow,3:00,N,19435,++,
139,Wednesday Sep 3,boxscore,KCR,,TEX,W,4,1,,77-62,1,up 1.0,Vargas,Tepesch,Holland,2:46,N,15771,+++,
140,Friday Sep 5,boxscore,KCR,@,NYY,W,1,0,,78-62,1,up 1.5,Shields,Pineda,Davis,2:33,N,36284,++++,
141,Saturday Sep 6,boxscore,KCR,@,NYY,L,2,6,,78-63,1,up 1.5,McCarthy,Hendriks,,2:48,D,45262,-,
142,Sunday Sep 7,boxscore,KCR,@,NYY,W,2,0,,79-63,1,up 1.5,Ventura,Greene,Davis,3:16,D,48110,+,
143,Monday Sep 8,boxscore,KCR,@,DET,L,5,9,,79-64,1,up 0.5,Verlander,Guthrie,,3:19,D,30758,-,
144,Tuesday Sep 9,boxscore,KCR,@,DET,L,2,4,,79-65,2,0.5,Scherzer,Vargas,Nathan,3:26,N,32603,--,
145,Wednesday Sep 10,boxscore,KCR,@,DET,W,3,0,,80-65,1,up 0.5,Shields,Porcello,Davis,3:18,N,29751,+,
146,Thursday Sep 11,boxscore,KCR,,BOS,L,3,6,,80-66,1,Tied,Buchholz,Hendriks,Mujica,3:28,N,28673,-,
147,Friday Sep 12,boxscore,KCR,,BOS,L,2,4,,80-67,2,1.0,Webster,Ventura,Mujica,2:49,N,19191,--,
148,Saturday Sep 13,boxscore,KCR,,BOS,W,7,1,,81-67,2,1.0,Guthrie,De La Rosa,,2:48,N,26627,+,
149,Sunday Sep 14,boxscore,KCR,,BOS,L,4,8,,81-68,2,2.0,Kelly,Vargas,,3:23,D,19065,-,
150,Monday Sep 15,boxscore,KCR,,CHW,W-wo,4,3,,82-68,2,2.0,Davis,Petricka,,3:18,N,21390,+,
151,Tuesday Sep 16,boxscore,KCR,,CHW,L,5,7,,82-69,2,2.0,Surkamp,Herrera,Putnam,4:16,N,28904,-,
152,Wednesday Sep 17,boxscore,KCR,,CHW,W,6,2,,83-69,2,1.0,Ventura,Sale,,2:50,N,26425,+,
153,Friday Sep 19,boxscore,KCR,,DET,L,1,10,,83-70,2,2.0,Verlander,Vargas,,3:16,N,37945,-,
154,Saturday Sep 20,boxscore,KCR,,DET,L,2,3,,83-71,2,3.0,Scherzer,Shields,Nathan,3:29,D,37074,--,
155,Sunday Sep 21,boxscore,KCR,,DET,W,5,2,,84-71,2,2.0,Guthrie,Porcello,Holland,3:09,D,37212,+,
156,Monday Sep 22,boxscore,KCR,@,CLE,W,2,0,,85-71,2,1.0,Duffy,Carrasco,Holland,3:03,N,10458,++,
157,Tuesday Sep 23,boxscore,KCR,@,CLE,W,7,1,,86-71,2,1.0,Ventura,Salazar,,2:57,N,11735,+++,
158,Wednesday Sep 24,boxscore,KCR,@,CLE,L,4,6,,86-72,2,2.0,McAllister,Finnegan,Allen,3:29,N,13796,-,
159,Thursday Sep 25,boxscore,KCR,@,CHW,W,6,3,,87-72,2,2.0,Herrera,Quintana,Holland,3:06,N,19587,+,
160,Friday Sep 26,boxscore,KCR,@,CHW,W,3,1,,88-72,2,1.0,Guthrie,Noesi,Holland,2:41,N,27416,++,
161,Saturday Sep 27,boxscore,KCR,@,CHW,L,4,5,,88-73,2,1.0,Danks,Duffy,Guerra,3:19,N,38160,-,
162,Sunday Sep 28,boxscore,KCR,@,CHW,W,6,4,,89-73,2,1.0,Coleman,Webb,Coleman,3:34,D,32266,+,
