"date","boxscore","team","home_or_away","opponent","win_or_loss","runs","runs_allowed","innings","win_loss_record","rank","win","loss","save","time","day_or_night","attendance","streak","originally_scheduled","year","games_ahead","run_diff","r_so_far","ra_so_far","rd_so_far","wins_so_far","losses_so_far","win_loss_differential","record_so_far","attendance_so_far"
"Wednesday, Jun 8","boxscore","ATL","@","NYM","W",7,6,"None","25-30",6,"Carroll","Fisher","Abernathy","3:02","N",16901,"+++++","None",1966,-8.5,1,225,228,-3,25,29,-4,0.462962962962963,NA
"Thursday, Jun 9","boxscore","ATL","@","NYM","W",8,4,"None","26-30",6,"Cloninger","Hamilton","None","2:52","N",13356,"++++++","None",1966,-8.5,4,233,232,1,26,29,-3,0.472727272727273,NA
"Friday, Jun 10","boxscore","ATL","@","PIT","W",8,2,"None","27-30",6,"Johnson","Veale","Olivo","2:30","N",15177,"+++++++","None",1966,-7.5,6,241,234,7,27,29,-2,0.482142857142857,NA
"Saturday, Jun 11","boxscore","ATL","@","PIT","L",3,5,"None","27-31",7,"Blass","Umbach","Face","2:36","D",8763,"-","None",1966,-8.5,-2,244,239,5,27,30,-3,0.473684210526316,NA
"Sunday, Jun 12","boxscore","ATL","@","PIT","L",8,11,"None","27-32",7,"Sisk","Carroll","Face","3:06","D",14520,"--","None",1966,-8.5,-3,252,250,2,27,31,-4,0.46551724137931,NA
"Monday, Jun 13","boxscore","ATL","@","PHI","L",2,6,"None","27-33",7,"Jackson","Cloninger","None","2:22","N",NA,"---","None",1966,-10,-4,254,256,-2,27,32,-5,0.457627118644068,NA
"Monday, Jun 13","boxscore","ATL","@","PHI","L",4,6,"None","27-34",7,"Buhl","Blasingame","Fox","2:43","N",21642,"----","1966-04-18 (Rain)",1966,-10,-2,258,262,-4,27,33,-6,0.45,NA
"Tuesday, Jun 14","boxscore","ATL","@","PHI","W",11,6,"None","28-34",7,"Johnson","Wise","Olivo","3:26","N",16759,"+","None",1966,-10,5,269,268,1,28,33,-5,0.459016393442623,NA
"Wednesday, Jun 15","boxscore","ATL","None","NYM","L",4,5,"None","28-35",8,"Hepler","O'Dell","Hamilton","2:53","N",13972,"-","None",1966,-11,-1,273,273,0,28,34,-6,0.451612903225806,NA
"Thursday, Jun 16","boxscore","ATL","None","NYM","W",17,1,"None","29-35",7,"Cloninger","Gardner","None","2:54","N",15108,"+","None",1966,-11,16,290,274,16,29,34,-5,0.46031746031746,NA
"Friday, Jun 17","boxscore","ATL","None","PIT","L",2,4,"None","29-36",7,"Cardwell","Carroll","Fryman","2:53","N",17704,"-","None",1966,-12,-2,292,278,14,29,35,-6,0.453125,NA
"Saturday, Jun 18","boxscore","ATL","None","PIT","L",6,9,"None","29-37",8,"Law","Blasingame","Face","3:15","N",21083,"--","None",1966,-12,-3,298,287,11,29,36,-7,0.446153846153846,NA
"Sunday, Jun 19","boxscore","ATL","None","PIT","L",1,2,"11","29-38",8,"Veale","Abernathy","None","2:49","D",17229,"---","None",1966,-12,-1,299,289,10,29,37,-8,0.439393939393939,NA
"Monday, Jun 20","boxscore","ATL","None","PHI","W",7,5,"None","30-38",8,"Cloninger","Fox","None","2:48","N",16790,"+","None",1966,-11.5,2,306,294,12,30,37,-7,0.447761194029851,NA
"Tuesday, Jun 21","boxscore","ATL","None","PHI","W",4,1,"None","31-38",8,"Lemaster","Jackson","None","2:18","N",11649,"++","None",1966,-11.5,3,310,295,15,31,37,-6,0.455882352941176,NA
"Wednesday, Jun 22","boxscore","ATL","None","PHI","L",3,7,"None","31-39",8,"Buhl","Jay","None","2:35","N",12544,"-","None",1966,-13,-4,313,302,11,31,38,-7,0.449275362318841,NA
"Friday, Jun 24","boxscore","ATL","None","LAD","L",0,4,"None","31-40",8,"Osteen","Blasingame","Regan","2:39","N",30043,"--","None",1966,-13.5,-4,313,306,7,31,39,-8,0.442857142857143,NA
"Saturday, Jun 25","boxscore","ATL","None","LAD","W",5,4,"None","32-40",8,"Johnson","Sutton","None","2:25","D",32063,"+","None",1966,-12,1,318,310,8,32,39,-7,0.450704225352113,NA
"Saturday, Jun 25","boxscore","ATL","None","LAD","W",4,3,"None","33-40",8,"Cloninger","Drysdale","Olivo","2:58","N",47226,"++","None",1966,-12,1,322,313,9,33,39,-6,0.458333333333333,NA
"Sunday, Jun 26","boxscore","ATL","None","LAD","L",1,2,"None","33-41",8,"Koufax","Lemaster","None","3:01","D",51275,"-","None",1966,-13,-1,323,315,8,33,40,-7,0.452054794520548,NA
"Monday, Jun 27","boxscore","ATL","None","CHC","L",1,5,"None","33-42",8,"Ellsworth","Jay","None","2:29","N",10147,"--","None",1966,-14,-4,324,320,4,33,41,-8,0.445945945945946,NA
"Tuesday, Jun 28","boxscore","ATL","None","CHC","W",4,2,"None","34-42",8,"Carroll","Holtzman","None","2:05","N",10664,"+","None",1966,-14,2,328,322,6,34,41,-7,0.453333333333333,NA
"Wednesday, Jun 29","boxscore","ATL","None","CHC","L",5,9,"None","34-43",8,"Lee","Olivo","Hendley","2:48","D",8163,"-","None",1966,-14,-4,333,331,2,34,42,-8,0.447368421052632,NA
"Thursday, Jun 30","boxscore","ATL","@","SFG","L",1,3,"None","34-44",8,"Perry","Johnson","None","2:05","D",12526,"--","None",1966,-15,-2,334,334,0,34,43,-9,0.441558441558442,NA
"Friday, Jul 1","boxscore","ATL","@","SFG","L",5,9,"None","34-45",8,"Linzy","Abernathy","Priddy","2:46","N",15670,"---","None",1966,-16,-4,339,343,-4,34,44,-10,0.435897435897436,NA
"Saturday, Jul 2","boxscore","ATL","@","SFG","W",3,1,"10","35-45",8,"Olivo","Linzy","Carroll","2:35","D",19794,"+","None",1966,-15,2,342,344,-2,35,44,-9,0.443037974683544,NA
"Sunday, Jul 3","boxscore","ATL","@","SFG","W",17,3,"None","36-45",8,"Cloninger","Gibbon","None","2:42","D",27002,"++","None",1966,-14,14,359,347,12,36,44,-8,0.45,NA
"Monday, Jul 4","boxscore","ATL","@","HOU","W",3,2,"None","37-45",8,"Johnson","Giusti","None","1:55","N",26679,"+++","None",1966,-13.5,1,362,349,13,37,44,-7,0.45679012345679,NA
"Tuesday, Jul 5","boxscore","ATL","@","HOU","W",9,4,"None","38-45",8,"Lemaster","Cuellar","None","2:16","N",20004,"++++","None",1966,-12.5,5,371,353,18,38,44,-6,0.463414634146341,NA
"Wednesday, Jul 6","boxscore","ATL","@","HOU","W",8,1,"None","39-45",7,"Schwall","Farrell","Carroll","2:24","N",28533,"+++++","None",1966,-12.5,7,379,354,25,39,44,-5,0.469879518072289,NA
"Thursday, Jul 7","boxscore","ATL","@","LAD","L",2,3,"None","39-46",7,"Drysdale","Olivo","Regan","2:37","N",25108,"-","None",1966,-13.5,-1,381,357,24,39,45,-6,0.464285714285714,NA
"Friday, Jul 8","boxscore","ATL","@","LAD","L",6,7,"None","39-47",7,"Perranoski","Carroll","Regan","2:42","N",31516,"--","None",1966,-14.5,-1,387,364,23,39,46,-7,0.458823529411765,NA
"Saturday, Jul 9","boxscore","ATL","@","LAD","W",5,2,"None","40-47",7,"Johnson","Koufax","Cloninger","2:30","N",47962,"+","None",1966,-14.5,3,392,366,26,40,46,-6,0.465116279069767,NA
"Sunday, Jul 10","boxscore","ATL","@","LAD","W",2,0,"None","41-47",7,"Lemaster","Osteen","None","2:06","D",32846,"++","None",1966,-13.5,2,394,366,28,41,46,-5,0.471264367816092,NA
"Thursday, Jul 14","boxscore","ATL","None","HOU","W-wo",7,6,"None","42-47",7,"Olivo","Raymond","None","2:45","N",15903,"+++","None",1966,-12.5,1,401,372,29,42,46,-4,0.477272727272727,NA
"Saturday, Jul 16","boxscore","ATL","None","HOU","T",1,1,"6","42-47",7,"None","None","None","1:11","D",13914,"+++","None",1966,-12.5,0,402,373,29,43,47,-4,0.477777777777778,NA
"Sunday, Jul 17","boxscore","ATL","None","CIN","W",9,6,"None","43-47",6,"Lemaster","Fischer","None","2:58","D",36522,"++++","None",1966,-12,3,411,379,32,44,47,-3,0.483516483516484,NA
"Monday, Jul 18","boxscore","ATL","None","CIN","W",9,8,"None","44-47",6,"Olivo","McCool","Carroll","3:06","D",12131,"+++++","None",1966,-11,1,420,387,33,45,47,-2,0.489130434782609,NA
"Tuesday, Jul 19","boxscore","ATL","@","STL","L-wo",9,10,"12","44-48",7,"Briles","Umbach","None","4:14","N",18616,"-","None",1966,-11.5,-1,429,397,32,45,48,-3,0.483870967741935,NA
"Wednesday, Jul 20","boxscore","ATL","@","STL","L",3,6,"None","44-49",7,"Washburn","Johnson","None","2:20","N",17914,"--","None",1966,-12.5,-3,432,403,29,45,49,-4,0.478723404255319,NA
"Thursday, Jul 21","boxscore","ATL","@","STL","L",4,7,"None","44-50",7,"Jackson","Lemaster","Piche","2:42","N",22043,"---","None",1966,-12.5,-3,436,410,26,45,50,-5,0.473684210526316,NA
"Friday, Jul 22","boxscore","ATL","@","CIN","L",2,8,"None","44-51",7,"Nuxhall","Schwall","Nottebart","2:45","N",11266,"----","None",1966,-12.5,-6,438,418,20,45,51,-6,0.46875,NA
"Sunday, Jul 24","boxscore","ATL","@","CIN","L-wo",3,4,"10","44-52",7,"McCool","Kelley","None","2:51","D",NA,"-----","None",1966,-13.5,-1,441,422,19,45,52,-7,0.463917525773196,NA
"Sunday, Jul 24","boxscore","ATL","@","CIN","W",5,4,"10","45-52",7,"Abernathy","McCool","None","3:00","D",22379,"+","1966-07-23 (Rain)",1966,-13.5,1,446,426,20,46,52,-6,0.469387755102041,NA
"Tuesday, Jul 26","boxscore","ATL","None","STL","L",3,4,"None","45-53",8,"Jackson","Lemaster","Hoerner","2:43","N",17520,"-","None",1966,-14,-1,449,430,19,46,53,-7,0.464646464646465,NA
"Wednesday, Jul 27","boxscore","ATL","None","STL","L",7,9,"None","45-54",8,"Washburn","Jay","Briles","2:40","N",11616,"--","None",1966,-14,-2,456,439,17,46,54,-8,0.46,NA
"Thursday, Jul 28","boxscore","ATL","None","STL","L",5,7,"None","45-55",9,"Gibson","Schwall","Hoerner","2:46","N",11343,"---","None",1966,-14.5,-2,461,446,15,46,55,-9,0.455445544554455,NA
"Friday, Jul 29","boxscore","ATL","None","SFG","W-wo",7,6,"None","46-55",8,"Abernathy","Linzy","None","2:51","N",31069,"+","None",1966,-14.5,1,468,452,16,47,55,-8,0.46078431372549,NA
"Saturday, Jul 30","boxscore","ATL","None","SFG","W-wo",6,5,"11","47-55",8,"Abernathy","Linzy","None","3:20","D",29706,"++","None",1966,-13,1,474,457,17,48,55,-7,0.466019417475728,NA
"Saturday, Jul 30","boxscore","ATL","None","SFG","W",15,2,"None","48-55",8,"Lemaster","Priddy","None","2:54","N",45767,"+++","None",1966,-13,13,489,459,30,49,55,-6,0.471153846153846,NA
"Sunday, Jul 31","boxscore","ATL","None","SFG","L",3,4,"None","48-56",8,"Bolin","Kelley","None","2:04","D",43987,"-","None",1966,-12.5,-1,492,463,29,49,56,-7,0.466666666666667,NA
"Tuesday, Aug 2","boxscore","ATL","@","CHC","L-wo",5,6,"12","48-57",8,"Jenkins","Abernathy","None","3:45","D",7266,"--","None",1966,-14,-1,497,469,28,49,57,-8,0.462264150943396,NA
"Wednesday, Aug 3","boxscore","ATL","@","CHC","W",2,0,"None","49-57",7,"Johnson","Holtzman","None","2:05","D",8126,"+","None",1966,-14,2,499,469,30,50,57,-7,0.467289719626168,NA
"Thursday, Aug 4","boxscore","ATL","@","CHC","L",2,5,"None","49-58",7,"Ellsworth","Lemaster","None","2:09","D",9146,"-","None",1966,-14,-3,501,474,27,50,58,-8,0.462962962962963,NA
"Friday, Aug 5","boxscore","ATL","@","PHI","W",9,2,"None","50-58",7,"Kelley","Verbanic","Abernathy","2:59","N",22520,"+","None",1966,-13,7,510,476,34,51,58,-7,0.467889908256881,NA
"Saturday, Aug 6","boxscore","ATL","@","PHI","L",5,6,"None","50-59",7,"Short","Carroll","Knowles","3:22","N",24330,"-","None",1966,-14,-1,515,482,33,51,59,-8,0.463636363636364,NA
"Sunday, Aug 7","boxscore","ATL","@","PHI","W",3,0,"None","51-59",7,"Cloninger","Jackson","None","2:46","D",14582,"+","None",1966,-13,3,518,482,36,52,59,-7,0.468468468468468,NA
"Monday, Aug 8","boxscore","ATL","None","LAD","W-wo",10,9,"None","52-59",7,"Niekro","Perranoski","None","3:06","N",28541,"++","None",1966,-12.5,1,528,491,37,53,59,-6,0.473214285714286,NA
"Tuesday, Aug 9","boxscore","ATL","None","LAD","W-wo",2,1,"None","53-59",7,"Lemaster","Koufax","None","2:19","N",52270,"+++","None",1966,-12.5,1,530,492,38,54,59,-5,0.47787610619469,NA
"Wednesday, Aug 10","boxscore","ATL","None","LAD","W",3,1,"None","54-59",7,"Kelley","Drysdale","Carroll","2:48","N",23389,"++++","None",1966,-12.5,2,533,493,40,55,59,-4,0.482456140350877,NA
"Saturday, Aug 13","boxscore","ATL","None","PHI","L",2,4,"None","54-60",7,"Bunning","Johnson","Knowles","2:40","N",NA,"-","None",1966,-14,-2,535,497,38,55,60,-5,0.478260869565217,NA
"Saturday, Aug 13","boxscore","ATL","None","PHI","L",4,7,"None","54-61",7,"Culp","Jarvis","Fox","3:02","D",27770,"--","1966-08-12 (Rain)",1966,-14,-3,539,504,35,55,61,-6,0.474137931034483,NA
"Sunday, Aug 14","boxscore","ATL","None","PHI","W",7,1,"None","55-61",7,"Lemaster","Buhl","None","2:51","D",16855,"+","None",1966,-14,6,546,505,41,56,61,-5,0.478632478632479,NA
"Monday, Aug 15","boxscore","ATL","@","HOU","W",4,2,"None","56-61",7,"Cloninger","Zachary","None","2:32","N",21244,"++","None",1966,-13.5,2,550,507,43,57,61,-4,0.483050847457627,NA
"Tuesday, Aug 16","boxscore","ATL","@","HOU","W",4,2,"None","57-61",7,"Kelley","Cuellar","Abernathy","2:40","N",18520,"+++","None",1966,-13.5,2,554,509,45,58,61,-3,0.487394957983193,NA
