"date","boxscore","team","home_or_away","opponent","win_or_loss","runs","runs_allowed","innings","win_loss_record","rank","win","loss","save","time","day_or_night","attendance","streak","originally_scheduled","year","games_ahead","run_diff","r_so_far","ra_so_far","rd_so_far","wins_so_far","losses_so_far","record_so_far","attendance_so_far"
"Thursday, Jul 18","None","BOS","@","CLE","L",5,6,"None","43-24",2,"None","None","None","None","None",NA,"-","None",1901,-1.5,-1,415,301,114,43,23,0.651515151515151,NA
"Friday, Jul 19","None","BOS","@","CLE","L",1,2,"None","43-25",2,"None","None","None","None","None",NA,"--","1901-05-27 (Wet grounds)",1901,-1.5,-1,416,303,113,43,24,0.641791044776119,NA
"Saturday, Jul 20","None","BOS","@","DET","L",6,8,"None","43-26",2,"None","None","None","None","None",NA,"---","None",1901,-1.5,-2,422,311,111,43,25,0.632352941176471,NA
"Sunday, Jul 21","None","BOS","@","DET","W",4,3,"None","44-26",2,"None","None","None","None","None",NA,"+","None",1901,-1.5,1,426,314,112,44,25,0.63768115942029,NA
"Monday, Jul 22","None","BOS","@","DET","L",5,6,"None","44-27",2,"None","None","None","None","None",NA,"-","None",1901,-1.5,-1,431,320,111,44,26,0.628571428571429,NA
"Tuesday, Jul 23","None","BOS","@","MLA","W",9,7,"None","45-27",2,"None","None","None","None","None",NA,"+","None",1901,-1.5,2,440,327,113,45,26,0.633802816901408,NA
"Wednesday, Jul 24","None","BOS","@","MLA","L",3,4,"None","45-28",2,"None","None","None","None","None",NA,"-","None",1901,-2.5,-1,443,331,112,45,27,0.625,NA
"Thursday, Jul 25","None","BOS","@","MLA","L",2,6,"None","45-29",2,"None","None","None","None","None",NA,"--","None",1901,-3.5,-4,445,337,108,45,28,0.616438356164384,NA
"Friday, Jul 26","None","BOS","@","MLA","W",4,2,"None","46-29",2,"None","None","None","None","None",NA,"+","1901-09-06 (Schedule change)",1901,-3.5,2,449,339,110,46,28,0.621621621621622,NA
"Saturday, Jul 27","None","BOS","@","CHW","L",7,8,"None","46-30",2,"None","None","None","None","None",NA,"-","None",1901,-4.5,-1,456,347,109,46,29,0.613333333333333,NA
"Monday, Jul 29","None","BOS","@","CHW","W",4,1,"None","47-30",2,"None","None","None","None","None",NA,"+","None",1901,-3.5,3,460,348,112,47,29,0.618421052631579,NA
"Wednesday, Jul 31","None","BOS","@","PHA","L",10,13,"None","47-31",2,"None","None","None","None","None",NA,"-","1901-06-26 (Schedule change)",1901,-4.5,-3,470,361,109,47,30,0.61038961038961,NA
"Thursday, Aug 1","None","BOS","@","PHA","L",6,8,"None","47-32",2,"None","None","None","None","None",NA,"--","None",1901,-5.5,-2,476,369,107,47,31,0.602564102564103,NA
"Friday, Aug 2","None","BOS","@","PHA","W",16,0,"None","48-32",2,"None","None","None","None","None",NA,"+","None",1901,-5.5,16,492,369,123,48,31,0.607594936708861,NA
"Saturday, Aug 3","None","BOS","@","PHA","L",4,7,"None","48-33",2,"None","None","None","None","None",NA,"-","None",1901,-5.5,-3,496,376,120,48,32,0.6,NA
"Monday, Aug 5","None","BOS","@","BLA","W",3,1,"None","49-33",2,"None","None","None","None","None",NA,"+","None",1901,-5.5,2,499,377,122,49,32,0.604938271604938,NA
"Monday, Aug 5","None","BOS","@","BLA","L",0,9,"None","49-34",2,"None","None","None","None","None",NA,"-","1901-04-24 (Rain)",1901,-5.5,-9,499,386,113,49,33,0.597560975609756,NA
"Wednesday, Aug 7","None","BOS","@","BLA","W",10,5,"None","50-34",2,"None","None","None","None","None",NA,"+","None",1901,-5,5,509,391,118,50,33,0.602409638554217,NA
"Wednesday, Aug 7","None","BOS","@","BLA","L",4,10,"None","50-35",2,"None","None","None","None","None",NA,"-","1901-04-25 (Rain)",1901,-5,-6,513,401,112,50,34,0.595238095238095,NA
"Thursday, Aug 8","None","BOS","None","BLA","L",0,2,"None","50-36",2,"None","None","None","None","None",NA,"--","None",1901,-6,-2,513,403,110,50,35,0.588235294117647,NA
